Year,Quarter,Type of application,Institution type group,Geographical region,Nationality, Applications 
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Colombia,9
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Ecuador,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa North,Egypt,4
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Georgia,4
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Ghana,8
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia East,Hong Kong,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South,India,59
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Indonesia,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Iran,30
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Iraq,8
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Israel,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Ivory Coast,2
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Jamaica,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia East,Japan,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Jordan,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia Central,Kazakhstan,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Kenya,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Kuwait,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Lebanon,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa North,Libya,17
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Malawi,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Malaysia,13
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South,Maldives,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Mauritius,2
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Mexico,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Monaco,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa North,Morocco,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South,Nepal,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Nigeria,61
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Occupied Palestinian Territories,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South,Pakistan,37
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Philippines,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Qatar,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Russia,6
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Saudi Arabia,132
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Serbia,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Singapore,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia East,South Korea,10
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South,Sri Lanka,5
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa North,Sudan,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Middle East,Syria,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia East,Taiwan,5
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia Central,Tajikistan,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Tanzania,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Thailand,19
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa North,Tunisia,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Turkey,5
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia Central,Turkmenistan,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Uganda,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Ukraine,1
2010,2010 Q1,Extensions of stay,Higher Education institution,America North,United States,13
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Uruguay,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Vietnam,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Zimbabwe,1
2010,2010 Q1,Visa,All other institutions,Asia Central,Afghanistan,20
2010,2010 Q1,Visa,All other institutions,Europe Other,Albania,16
2010,2010 Q1,Visa,All other institutions,Africa North,Algeria,7
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Angola,8
2010,2010 Q1,Visa,All other institutions,America Central and South,Argentina,4
2010,2010 Q1,Visa,All other institutions,Oceania,Australia,2
2010,2010 Q1,Visa,All other institutions,Europe Other,Azerbaijan,1
2010,2010 Q1,Visa,All other institutions,Middle East,Bahrain,17
2010,2010 Q1,Visa,All other institutions,Asia South,Bangladesh,1
2010,2010 Q1,Visa,All other institutions,Europe Other,Belarus,1
2010,2010 Q1,Visa,All other institutions,America Central and South,Bolivia,2
2010,2010 Q1,Visa,All other institutions,Europe Other,Bosnia and Herzegovina,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Botswana,3
2010,2010 Q1,Visa,All other institutions,America Central and South,Brazil,270
2010,2010 Q1,Visa,All other institutions,Asia South East,Brunei,3
2010,2010 Q1,Visa,All other institutions,Asia South East,Cambodia,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Cameroon,15
2010,2010 Q1,Visa,All other institutions,America North,Canada,6
2010,2010 Q1,Visa,All other institutions,America Central and South,Chile,8
2010,2010 Q1,Visa,All other institutions,Asia East,China,260
2010,2010 Q1,Visa,All other institutions,America Central and South,Colombia,328
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Comoros,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Congo,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Congo (Democratic Republic),2
2010,2010 Q1,Visa,All other institutions,EU Other,Croatia,5
2010,2010 Q1,Visa,All other institutions,America Central and South,Ecuador,15
2010,2010 Q1,Visa,All other institutions,Africa North,Egypt,17
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Equatorial Guinea,9
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Ethiopia,4
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,"Gambia, The",6
2010,2010 Q1,Visa,All other institutions,Europe Other,Georgia,8
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Ghana,5
2010,2010 Q1,Visa,All other institutions,America Central and South,Grenada,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Guinea,1
2010,2010 Q1,Visa,All other institutions,America Central and South,Guyana,1
2010,2010 Q1,Visa,All other institutions,America Central and South,Haiti,1
2010,2010 Q1,Visa,All other institutions,Asia East,Hong Kong,17
2010,2010 Q1,Visa,All other institutions,Asia South,India,964
2010,2010 Q1,Visa,All other institutions,Asia South East,Indonesia,12
2010,2010 Q1,Visa,All other institutions,Middle East,Iran,151
2010,2010 Q1,Visa,All other institutions,Middle East,Iraq,2
2010,2010 Q1,Visa,All other institutions,Middle East,Israel,5
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Ivory Coast,3
2010,2010 Q1,Visa,All other institutions,Asia East,Japan,269
2010,2010 Q1,Visa,All other institutions,Middle East,Jordan,4
2010,2010 Q1,Visa,All other institutions,Asia Central,Kazakhstan,23
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Kenya,9
2010,2010 Q1,Visa,All other institutions,Middle East,Kuwait,5
2010,2010 Q1,Visa,All other institutions,Asia Central,Kyrgyzstan,7
2010,2010 Q1,Visa,All other institutions,Middle East,Lebanon,10
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Liberia,1
2010,2010 Q1,Visa,All other institutions,Africa North,Libya,94
2010,2010 Q1,Visa,All other institutions,Asia East,Macau,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Madagascar,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Malawi,2
2010,2010 Q1,Visa,All other institutions,Asia South East,Malaysia,34
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Mali,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Mauritius,9
2010,2010 Q1,Visa,All other institutions,America Central and South,Mexico,12
2010,2010 Q1,Visa,All other institutions,Asia East,Mongolia,15
2010,2010 Q1,Visa,All other institutions,Africa North,Morocco,30
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Mozambique,2
2010,2010 Q1,Visa,All other institutions,Asia South,Nepal,1
2010,2010 Q1,Visa,All other institutions,Oceania,New Zealand,1
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Nigeria,105
2010,2010 Q1,Visa,All other institutions,Asia East,North Korea,19
2010,2010 Q1,Visa,All other institutions,Europe Other,North Macedonia,20
2010,2010 Q1,Visa,All other institutions,Middle East,Occupied Palestinian Territories,4
2010,2010 Q1,Visa,All other institutions,Middle East,Oman,16
2010,2010 Q1,Visa,All other institutions,Other,Other and unknown,5
2010,2010 Q1,Visa,All other institutions,Asia South,Pakistan,724
2010,2010 Q1,Visa,All other institutions,America Central and South,Panama,1
2010,2010 Q1,Visa,All other institutions,America Central and South,Peru,7
2010,2010 Q1,Visa,All other institutions,Asia South East,Philippines,405
2010,2010 Q1,Visa,All other institutions,Middle East,Qatar,2
2010,2010 Q1,Visa,All other institutions,Europe Other,Russia,39
2010,2010 Q1,Visa,All other institutions,Middle East,Saudi Arabia,300
2010,2010 Q1,Visa,All other institutions,Europe Other,Serbia,3
2010,2010 Q1,Visa,All other institutions,Asia South East,Singapore,4
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Somalia,3
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,South Africa,13
2010,2010 Q1,Visa,All other institutions,Asia East,South Korea,400
2010,2010 Q1,Visa,All other institutions,Asia South,Sri Lanka,455
2010,2010 Q1,Visa,All other institutions,America Central and South,St Vincent and the Grenadines,2
2010,2010 Q1,Visa,All other institutions,Middle East,Syria,6
2010,2010 Q1,Visa,All other institutions,Asia East,Taiwan,40
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Tanzania,6
2010,2010 Q1,Visa,All other institutions,Asia South East,Thailand,180
2010,2010 Q1,Visa,All other institutions,America Central and South,Trinidad and Tobago,2
2010,2010 Q1,Visa,All other institutions,Africa North,Tunisia,2
2010,2010 Q1,Visa,All other institutions,Europe Other,Turkey,297
2010,2010 Q1,Visa,All other institutions,Asia Central,Turkmenistan,12
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Uganda,2
2010,2010 Q1,Visa,All other institutions,Europe Other,Ukraine,12
2010,2010 Q1,Visa,All other institutions,Middle East,United Arab Emirates,13
2010,2010 Q1,Visa,All other institutions,America North,United States,60
2010,2010 Q1,Visa,All other institutions,Asia Central,Uzbekistan,13
2010,2010 Q1,Visa,All other institutions,America Central and South,Venezuela,22
2010,2010 Q1,Visa,All other institutions,Asia South East,Vietnam,51
2010,2010 Q1,Visa,All other institutions,Middle East,Yemen,3
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Zambia,5
2010,2010 Q1,Visa,All other institutions,Africa Sub-Saharan,Zimbabwe,1
2010,2010 Q1,Extensions of stay,All other institutions,Asia Central,Afghanistan,2
2010,2010 Q1,Extensions of stay,All other institutions,Africa North,Algeria,6
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Angola,1
2010,2010 Q1,Extensions of stay,All other institutions,Oceania,Australia,2
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Azerbaijan,2
2010,2010 Q1,Extensions of stay,All other institutions,Asia South,Bangladesh,86
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Belarus,3
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Bolivia,2
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Bosnia and Herzegovina,1
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Botswana,1
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Brazil,36
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Cambodia,1
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Cameroon,9
2010,2010 Q1,Extensions of stay,All other institutions,America North,Canada,1
2010,2010 Q1,Extensions of stay,All other institutions,Asia East,China,110
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Colombia,76
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Congo,1
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Ecuador,3
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,"Gambia, The",5
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Georgia,4
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Ghana,12
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Grenada,1
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Guyana,1
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Haiti,1
2010,2010 Q1,Extensions of stay,All other institutions,Asia East,Hong Kong,2
2010,2010 Q1,Extensions of stay,All other institutions,Asia South,India,75
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,Iran,36
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Ivory Coast,5
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Jamaica,2
2010,2010 Q1,Extensions of stay,All other institutions,Asia East,Japan,24
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,Jordan,2
2010,2010 Q1,Extensions of stay,All other institutions,Asia Central,Kazakhstan,6
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Kenya,4
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Kosovo,2
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,Kuwait,2
2010,2010 Q1,Extensions of stay,All other institutions,Asia Central,Kyrgyzstan,1
2010,2010 Q1,Extensions of stay,All other institutions,Africa North,Libya,17
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Malawi,5
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Malaysia,7
2010,2010 Q1,Extensions of stay,All other institutions,Africa North,Mauritania,1
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Mauritius,15
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Mexico,4
2010,2010 Q1,Extensions of stay,All other institutions,Asia East,Mongolia,11
2010,2010 Q1,Extensions of stay,All other institutions,Africa North,Morocco,2
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Myanmar (Burma),8
2010,2010 Q1,Extensions of stay,All other institutions,Asia South,Nepal,9
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Niger,1
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Nigeria,72
2010,2010 Q1,Extensions of stay,All other institutions,Asia East,North Korea,1
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,North Macedonia,1
2010,2010 Q1,Extensions of stay,All other institutions,Other,Other and unknown,1
2010,2010 Q1,Extensions of stay,All other institutions,Asia South,Pakistan,96
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Peru,5
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Philippines,63
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,Qatar,2
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Russia,10
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,Saudi Arabia,79
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Senegal,1
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Serbia,2
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Sierra Leone,3
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Singapore,1
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,South Africa,5
2010,2010 Q1,Extensions of stay,All other institutions,Asia East,South Korea,16
2010,2010 Q1,Extensions of stay,All other institutions,Asia South,Sri Lanka,35
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,Syria,3
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Tanzania,4
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Thailand,29
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Trinidad and Tobago,2
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Turkey,23
2010,2010 Q1,Extensions of stay,All other institutions,Asia Central,Turkmenistan,3
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Uganda,5
2010,2010 Q1,Extensions of stay,All other institutions,Europe Other,Ukraine,3
2010,2010 Q1,Extensions of stay,All other institutions,Middle East,United Arab Emirates,1
2010,2010 Q1,Extensions of stay,All other institutions,America North,United States,1
2010,2010 Q1,Extensions of stay,All other institutions,Asia Central,Uzbekistan,12
2010,2010 Q1,Extensions of stay,All other institutions,America Central and South,Venezuela,12
2010,2010 Q1,Extensions of stay,All other institutions,Asia South East,Vietnam,8
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Zambia,4
2010,2010 Q1,Extensions of stay,All other institutions,Africa Sub-Saharan,Zimbabwe,4
2010,2010 Q2,Visa,Higher Education institution,Asia Central,Afghanistan,3
2010,2010 Q2,Visa,Higher Education institution,Europe Other,Albania,6
2010,2010 Q2,Visa,Higher Education institution,Africa North,Algeria,4
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Angola,7
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Argentina,4
2010,2010 Q2,Visa,Higher Education institution,Europe Other,Armenia,2
2010,2010 Q2,Visa,Higher Education institution,Oceania,Australia,55
2010,2010 Q2,Visa,Higher Education institution,Europe Other,Azerbaijan,3
2010,2010 Q2,Visa,Higher Education institution,Middle East,Bahrain,17
2010,2010 Q2,Visa,Higher Education institution,Asia South,Bangladesh,7
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Barbados,3
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Benin,1
2010,2010 Q2,Visa,Higher Education institution,Europe Other,Bosnia and Herzegovina,3
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Botswana,5
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Brazil,45
2010,2010 Q2,Visa,Higher Education institution,Asia South East,Brunei,8
2010,2010 Q2,Visa,Higher Education institution,Asia South East,Cambodia,1
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Cameroon,7
2010,2010 Q2,Visa,Higher Education institution,America North,Canada,121
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Chile,49
2010,2010 Q2,Visa,Higher Education institution,Asia East,China,6818
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Colombia,59
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Congo,2
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Congo (Democratic Republic),1
2010,2010 Q2,Visa,Higher Education institution,EU Other,Croatia,2
2010,2010 Q2,Visa,Higher Education institution,EU Other,Cyprus,1
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Dominica,2
2010,2010 Q2,Visa,Higher Education institution,Asia South East,East Timor,1
2010,2010 Q2,Visa,Higher Education institution,Africa North,Egypt,42
2010,2010 Q2,Visa,Higher Education institution,America Central and South,El Salvador,2
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Eswatini,1
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Ethiopia,7
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,"Gambia, The",4
2010,2010 Q2,Visa,Higher Education institution,Europe Other,Georgia,3
2010,2010 Q2,Visa,Higher Education institution,EU 14,Germany,1
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Ghana,21
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Guatemala,1
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Honduras,1
2010,2010 Q2,Visa,Higher Education institution,Asia East,Hong Kong,58
2010,2010 Q2,Visa,Higher Education institution,Asia South,India,589
2010,2010 Q2,Visa,Higher Education institution,Asia South East,Indonesia,48
2010,2010 Q2,Visa,Higher Education institution,Middle East,Iran,114
2010,2010 Q2,Visa,Higher Education institution,Middle East,Iraq,31
2010,2010 Q2,Visa,Higher Education institution,Middle East,Israel,10
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Ivory Coast,1
2010,2010 Q2,Visa,Higher Education institution,America Central and South,Jamaica,2
2010,2010 Q2,Visa,Higher Education institution,Asia East,Japan,378
2010,2010 Q2,Visa,Higher Education institution,Middle East,Jordan,26
2010,2010 Q2,Visa,Higher Education institution,Asia Central,Kazakhstan,68
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Kenya,18
2010,2010 Q2,Visa,Higher Education institution,Middle East,Kuwait,92
2010,2010 Q2,Visa,Higher Education institution,Middle East,Lebanon,12
2010,2010 Q2,Visa,Higher Education institution,Africa North,Libya,158
2010,2010 Q2,Visa,Higher Education institution,Asia East,Macau,5
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Madagascar,1
2010,2010 Q2,Visa,Higher Education institution,Africa Sub-Saharan,Malawi,3
