Year,Quarter,Type_of_application,Category_of_leave,Geographical_region,Nationality,Applications
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Kosovo,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Kuwait,4
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Lebanon,27
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa North,Libya,10
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Macedonia,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Malawi,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Malaysia,121
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Mauritius,10
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Mexico,30
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Moldova,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,Mongolia,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Montenegro,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa North,Morocco,21
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Mozambique,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Namibia,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South,Nepal,87
2010,2010 Q1,Visa,Worker (Previously Tier 2),Oceania,New Zealand,101
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Nigeria,54
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Occupied Palestinian Territories,4
2010,2010 Q1,Visa,Worker (Previously Tier 2),Other,Other and unknown,5
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South,Pakistan,159
2010,2010 Q1,Visa,Worker (Previously Tier 2),Oceania,Papua New Guinea,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Peru,6
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Philippines,363
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Russia,108
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Rwanda,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Oceania,Samoa,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Saudi Arabia,28
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Serbia,10
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Sierra Leone,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Singapore,49
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,South Africa,209
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South,Sri Lanka,47
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,St. Lucia,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa North,Sudan,9
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Syria,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,Taiwan,17
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Tanzania,5
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Thailand,45
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Trinidad and Tobago,15
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa North,Tunisia,6
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Turkey,67
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Uganda,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Ukraine,27
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,United Arab Emirates,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),America North,United States,1365
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Uruguay,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Venezuela,9
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Vietnam,11
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Zambia,5
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Zimbabwe,37
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Albania,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa North,Algeria,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Angola,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Argentina,423
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Armenia,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Oceania,Australia,220
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Azerbaijan,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,"Bahamas, The",2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South,Bangladesh,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Barbados,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Belarus,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Bolivia,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Bosnia and Herzegovina,6
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Botswana,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Brazil,100
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Burkina,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Burma,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Cambodia,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Cameroon,5
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America North,Canada,318
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Chile,27
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia East,China,164
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Colombia,50
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Congo (Democratic Republic),14
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Costa Rica,5
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),EU Other,Croatia,9
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Cuba,158
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Dominican Republic,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Ecuador,9
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa North,Egypt,25
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Ethiopia,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Georgia,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Ghana,38
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Grenada,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Guinea,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Honduras,5
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South,India,579
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Indonesia,13
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Iran,41
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Iraq,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Israel,68
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Ivory Coast,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Jamaica,52
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia East,Japan,145
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Jordan,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia Central,Kazakhstan,12
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Kenya,51
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia East,Korea (North),5
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia East,Korea (South),136
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Kosovo,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia Central,Kyrgyzstan,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Lebanon,10
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Lesotho,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa North,Libya,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Macedonia,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Madagascar,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Malawi,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Malaysia,12
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Mali,10
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Mexico,28
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Moldova,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia East,Mongolia,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa North,Morocco,7
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Namibia,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South,Nepal,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Oceania,New Zealand,56
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Nicaragua,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Niger,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Nigeria,51
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Occupied Palestinian Territories,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Other,Other and unknown,8
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South,Pakistan,84
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Panama,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Paraguay,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Peru,11
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Philippines,20
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Qatar,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Russia,221
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Rwanda,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Saudi Arabia,6
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Senegal,10
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Serbia,12
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Singapore,10
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,South Africa,124
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South,Sri Lanka,51
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,St. Lucia,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa North,Sudan,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Swaziland,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Syria,15
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia East,Taiwan,26
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia Central,Tajikistan,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Tanzania,5
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Thailand,34
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Trinidad and Tobago,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Turkey,71
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Uganda,21
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Europe Other,Ukraine,79
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,United Arab Emirates,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America North,United States,3284
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Uruguay,6
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia Central,Uzbekistan,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),America Central and South,Venezuela,2
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Asia South East,Vietnam,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Middle East,Yemen,4
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Zambia,9
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Zimbabwe,14
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Albania,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa North,Algeria,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Angola,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Antigua and Barbuda,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Argentina,9
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Oceania,Australia,193
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Azerbaijan,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South,Bangladesh,46
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Barbados,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Belarus,10
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Belize,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Bolivia,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Bosnia and Herzegovina,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Botswana,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Brazil,35
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Brunei,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Burma,14
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Cameroon,8
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America North,Canada,89
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Chile,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,China,302
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Colombia,8
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Congo,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Congo (Democratic Republic),1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),EU Other,Croatia,5
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Dominica,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa North,Egypt,42
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,El Salvador,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Ethiopia,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Oceania,Fiji,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,"Gambia, The",5
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Ghana,66
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Guyana,5
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,Hong Kong,12
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South,India,1995
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Indonesia,8
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Iran,22
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Iraq,7
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Israel,19
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Ivory Coast,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Jamaica,20
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,Japan,118
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Jordan,9
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia Central,Kazakhstan,13
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Kenya,33
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,Korea (North),1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,Korea (South),32
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Lebanon,9
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Lesotho,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa North,Libya,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Malawi,8
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Malaysia,71
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South,Maldives,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Mauritius,47
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Mexico,15
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Moldova,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,Mongolia,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Montenegro,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa North,Morocco,9
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Namibia,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South,Nepal,66
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Oceania,New Zealand,66
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Nigeria,160
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Occupied Palestinian Territories,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Other,Other and unknown,12
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South,Pakistan,195
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Peru,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Philippines,259
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Qatar,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Russia,48
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Saudi Arabia,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Senegal,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Serbia,8
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Seychelles,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Sierra Leone,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Singapore,16
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,South Africa,171
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South,Sri Lanka,74
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,St. Lucia,4
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,St. Vincent and the Grenadines,2
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Other,Stateless,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa North,Sudan,11
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Swaziland,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Syria,8
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia East,Taiwan,6
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Tanzania,6
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Thailand,48
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Trinidad and Tobago,17
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Turkey,28
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia Central,Turkmenistan,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Uganda,16
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Europe Other,Ukraine,23
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America North,United States,349
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia Central,Uzbekistan,3
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),America Central and South,Venezuela,10
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Asia South East,Vietnam,5
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Middle East,Yemen,1
2010,2010 Q1,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Zambia,16
